operator,scenario,pass,speedup,baseline_ms,candidate_ms,err_ratio,mean_abs_diff,failure_reason
ada_layer_norm,tokens-4/9e4677cc,PASS,1.6353123613494214,0.7450990087818354,0.45563100138679147,0.8928572535514832,7.491666309533684e-08,
ada_layer_norm,tokens-8/387e85be,PASS,1.5593318448368172,0.5258409946691245,0.33722199441399425,0.9389671087265015,2.719574752063636e-07,
ada_layer_norm_continuous,tokens-4/c53d9545,PASS,1.629666766484325,0.6927860085852444,0.42510899947956204,0.13850416243076324,2.0842587378222532e-10,
ada_layer_norm_continuous,tokens-8/54bf6f3c,PASS,1.4575592924739953,0.3910689993062988,0.268304007477127,0.1472754031419754,2.352559813623145e-10,
attention,tokens-1/de6d8aa0,PASS,0.8118130595804173,0.10088400449603796,0.12426999455783516,0.0,0.0,
attention,tokens-4/117e63da,PASS,0.8398027261475586,0.10865199146792293,0.12937799328938127,0.16122639179229736,0.000244017195655033,
attention,tokens-32/64e41a1b,PASS,0.771813276503891,0.10021300113294274,0.1298409915762022,0.16664695739746094,0.00018001017451751977,
attention,tokens-64/01a0c463,PASS,0.7641810583469294,0.09070600208360702,0.11869700392708182,0.17572683095932007,0.00013654306530952454,
attention,tokens-16384/7f57a71d,PASS,0.19014762655021533,2.5437129952479154,13.377569004660472,0.19137078523635864,1.0043248039437458e-05,
attention,tokens-1/5d4c9162,PASS,0.6997856597651552,0.09761800174601376,0.1394970022374764,0.0007618815870955586,2.3549091565655544e-09,
attention,tokens-4/87882ce0,PASS,0.6776295258244763,0.09972199040930718,0.14716299483552575,0.2816644012928009,0.0004132786416448653,
attention,tokens-16/a8a7841c,PASS,0.2038553649187633,0.09620199853088707,0.4719130083685741,0.26795753836631775,0.00033997316495515406,
attention,tokens-64/5f005064,PASS,0.6230613851959032,0.09690099977888167,0.15552400145679712,0.25174814462661743,0.0002185014309361577,
attention,tokens-16384/b3c3f85e,PASS,0.22079906989916642,4.631474002962932,20.975966996047646,0.2810978889465332,1.6574093024246395e-05,
attention,tokens-37/bec43be7,PASS,0.8030293098451282,0.09983099880628288,0.12431800132617354,0.1784026026725769,0.0001908707490656525,
attention,tokens-68/7dbc57b1,PASS,0.7985099096607815,0.11017599899787456,0.13797699648421258,0.19822831451892853,0.00015241595974657685,
attention,tokens-73/48f343f2,PASS,0.7787751258061383,0.0971810077317059,0.12478699500206858,0.1947096884250641,0.00014844776887912303,
attention,tokens-100/12c41afa,PASS,0.7267548806385568,0.0932709954213351,0.1283390010939911,0.1844227910041809,0.00013837659207638353,
attention,tokens-16384/761b4b55,PASS,0.211087885470877,2.2176029888214543,10.505590995308012,0.17915545403957367,1.1667389117064886e-05,
attention_impl,tokens-1/3c4751de,PASS,0.952311436569991,0.04509100108407438,0.047349007218144834,0.0,0.0,
attention_impl,tokens-4/209a2a30,PASS,0.9520737324264535,0.04366399662103504,0.04586199065670371,0.0,0.0,
attention_impl,tokens-32/c5eb5afa,PASS,0.9698604586412716,0.043795997044071555,0.04515700857155025,0.0,0.0,
attention_impl,tokens-64/8586a3a3,PASS,0.9936560070942458,0.044482003431767225,0.04476599860936403,0.14513789117336273,2.9802322387695312e-08,
attention_impl,tokens-16384/89738da6,PASS,0.011011056822321114,0.1550029992358759,14.077031999477185,0.38314178586006165,8.655416604597121e-05,
attention_impl,tokens-1/b82c84d2,PASS,0.9375707624419394,0.04232100036460906,0.04513899330049753,0.0,0.0,
attention_impl,tokens-4/c9cc08fc,PASS,0.9702818601114215,0.042705010855570436,0.04401299520395696,0.0,0.0,
attention_impl,tokens-32/51a9ebf0,PASS,0.9807095768126142,0.04331499803811312,0.04416699812281877,0.0,0.0,
attention_impl,tokens-64/16e3ef02,PASS,1.0025525179080528,0.044387008529156446,0.04427399835549295,0.045516613870859146,3.725290298461914e-09,
